,iteration_1,iteration_2,iteration_3,iteration_4,iteration_5,mean,median,range,variance,stdev
stemmer and vectorizers load time (s),0.07766199111938477,0.06558680534362793,0.06174921989440918,0.06212806701660156,0.055454254150390625,0.06451606750488281,0.06212806701660156,0.02220773696899414,6.735906012522719e-05,0.008207256552906531
logistic regression load time (s),0.0006740093231201172,0.0004239082336425781,0.000392913818359375,0.00038886070251464844,0.0003859996795654297,0.00045313835144042967,0.000392913818359375,0.0002880096435546875,1.5476149428650387e-08,0.00012440317290427278
naive Bayes load time (s),0.0006530284881591797,0.00045013427734375,0.00041413307189941406,0.0004050731658935547,0.0004012584686279297,0.00046472549438476564,0.00041413307189941406,0.00025177001953125,1.1454244486230892e-08,0.0001070245041391498
random forest load time (s),0.07354116439819336,0.0670328140258789,0.06813788414001465,0.06565999984741211,0.06555891036987305,0.06798615455627441,0.0670328140258789,0.007982254028320312,1.0773131111818657e-05,0.0032822448281349544
