,iteration_1,iteration_2,iteration_3,iteration_4,iteration_5,mean,median,range,variance,stdev
data processing time (s),263.4067018032074,261.8044662475586,262.134654045105,263.12209463119507,263.77441477775574,262.84846630096433,263.12209463119507,1.9699485301971436,0.7108359922169882,0.843110901493385
logistic regression fit time (s),14.66969084739685,14.803404092788696,14.961765766143799,14.930761814117432,14.580260038375854,14.789176511764527,14.803404092788696,0.38150572776794434,0.026989697368475164,0.164285414350986
logistic regression f1,0.7760457351708441,0.7756617290688345,0.7770550090719,0.7757560439694831,0.7755771676394823,0.7760191369841087,0.7757560439694831,0.0014778414324176925,3.665084249094067e-07,0.0006053993928882046
logistic regression accuracy,0.7712395833333333,0.7704916666666667,0.7716541666666666,0.7707979166666666,0.7705875,0.7709541666666666,0.7707979166666666,0.0011624999999999552,2.3605685763887814e-07,0.0004858568283341072
naive Bayes fit time (s),0.41420578956604004,0.40238094329833984,0.39673399925231934,0.4186580181121826,0.40250420570373535,0.40689659118652344,0.40250420570373535,0.02192401885986328,8.36794862948409e-05,0.009147649222332528
naive Bayes f1,0.7590748162095241,0.7533550559402412,0.7552269367346216,0.7535464924133719,0.75824588634506,0.7558898375285638,0.7552269367346216,0.005719760269282892,7.012719178971674e-06,0.002648153919048452
naive Bayes accuracy,0.7571479166666667,0.7541479166666667,0.7554395833333334,0.7545333333333333,0.7559875,0.75545125,0.7554395833333334,0.0030000000000000027,1.42690668402782e-06,0.0011945319937229893
random forest fit time (s),257.4512119293213,245.72514700889587,246.1709270477295,243.4619541168213,248.94300603866577,248.35044922828675,246.1709270477295,13.9892578125,29.678729611892365,5.447818793966294
random forest f1,0.7498962988928811,0.7501091992574451,0.7525746024240215,0.753188439118733,0.7518439044057926,0.7515224888197747,0.7518439044057926,0.0032921402258518917,2.156880619773911e-06,0.001468632227541637
random forest accuracy,0.73244375,0.7330208333333333,0.7340166666666667,0.73386875,0.7332895833333334,0.7333279166666666,0.7332895833333334,0.0015729166666667016,4.110993923611144e-07,0.0006411703302252174
