,iteration_1,iteration_2,iteration_3,iteration_4,iteration_5,mean,median,range,variance,stdev
data processing time (s),263.99880194664,284.0391638278961,261.5982656478882,261.7995321750641,261.09743309020996,266.5066393375397,261.7995321750641,22.941730737686157,97.29679143164641,9.86391359611622
logistic regression fit time (s),16.672894954681396,18.012887239456177,16.819737911224365,17.127799034118652,16.53270196914673,17.033204221725462,16.819737911224365,1.4801852703094482,0.3486550330587079,0.5904701796523749
logistic regression f1,0.7770357223452203,0.7768114525822055,0.7774262505344164,0.7764529960175168,0.775968199329932,0.7767389241618582,0.7768114525822055,0.0014580512044843896,3.1038468652332793e-07,0.0005571217878734666
logistic regression accuracy,0.77151875,0.7716,0.7722375,0.771084375,0.77139375,0.771566875,0.77151875,0.001153124999999977,1.7898242187499586e-07,0.0004230631417117259
naive Bayes fit time (s),0.3428170680999756,0.39479970932006836,0.3565840721130371,0.3530139923095703,0.3525261878967285,0.35994820594787597,0.3530139923095703,0.05198264122009277,0.0004056475596144083,0.02014069411947881
naive Bayes f1,0.754807887845672,0.758958794654609,0.7546846249170724,0.7542026408549909,0.7591627424747087,0.7563633381494106,0.754807887845672,0.004960101619717827,6.119793902203763e-06,0.0024738217199717044
naive Bayes accuracy,0.755090625,0.756778125,0.755025,0.75463125,0.757546875,0.7558143749999999,0.755090625,0.0029156249999999773,1.619270507812474e-06,0.0012725056022715475
random forest fit time (s),308.11503982543945,313.00567984580994,326.2400481700897,322.13385701179504,333.5910258293152,320.6171301364899,322.13385701179504,25.475986003875732,104.11901868707976,10.20387272985506
random forest f1,0.7535748194608279,0.7473715228665724,0.7531472677182744,0.7522372096132439,0.7485479236858966,0.7509757486689631,0.7522372096132439,0.0062032965942555585,7.986681364903404e-06,0.002826071719702705
random forest accuracy,0.73234375,0.7320875,0.73455,0.733603125,0.733890625,0.733295,0.733603125,0.002462500000000034,1.0969169921875495e-06,0.0010473380505775342
