,iteration_1,iteration_2,iteration_3,iteration_4,iteration_5,mean,median,range,variance,stdev
vectorizers load time (s),0.100172997,0.071243048,0.077119827,0.078653812,0.077154875,0.080868912,0.077154875,0.028929949,0.000124515,0.011158644
logistic regression load time (s),0.000622749,0.000420094,0.00039506,0.000387907,0.000385761,0.000442314,0.00039506,0.000236988,1.04E-08,0.000101787
naive Bayes load time (s),0.000622272,0.000421762,0.000408173,0.000404835,0.00040102,0.000451612,0.000408173,0.000221252,9.16E-09,9.57E-05
random forest load time (s),0.096979141,0.074602842,0.073417902,0.072843075,0.075512171,0.078671026,0.074602842,0.024136066,0.000105819,0.010286835
